Item_Identifier,Item_Outlet_Sales,Outlet_Identifier
FDW58,1848.0,OUT049
FDW14,1568.0,OUT017
NCN55,1880.0,OUT010
FDQ58,2584.0,OUT017
FDY38,5232.0,OUT027
FDH56,1896.0,OUT046
FDL48,656.0,OUT018
FDC48,2808.0,OUT027
FDN33,1504.0,OUT045
FDA36,3056.0,OUT017
FDT44,1976.0,OUT017
FDQ56,1288.0,OUT045
NCC54,1832.0,OUT019
FDU11,2040.0,OUT049
DRL59,928.0,OUT013
FDM24,2568.0,OUT049
FDI57,3080.0,OUT045
DRC12,2824.0,OUT018
NCM42,3192.0,OUT027
FDA46,1136.0,OUT010
FDA31,2816.0,OUT013
NCJ31,3840.0,OUT035
FDG52,768.0,OUT046
NCL19,360.0,OUT019
FDS10,3016.0,OUT035
FDX22,1480.0,OUT010
NCF19,888.0,OUT035
NCE06,2472.0,OUT046
DRC27,3816.0,OUT046
FDE21,2008.0,OUT035
NCR42,-1376.0,OUT019
FDX51,2920.0,OUT018
NCR06,456.0,OUT018
FDU31,4992.0,OUT027
FDU59,2688.0,OUT017
FDR03,4816.0,OUT027
FDS49,2784.0,OUT027
FDD48,-64.0,OUT010
NCF18,3080.0,OUT017
NCD43,3112.0,OUT027
NCD54,2024.0,OUT018
FDY19,-24.0,OUT010
NCY54,2768.0,OUT017
NCL19,2048.0,OUT018
FDP23,1544.0,OUT010
FDC26,1840.0,OUT013
FDR14,-1048.0,OUT010
NCS41,3000.0,OUT035
FDF41,4016.0,OUT035
FDU34,1968.0,OUT046
DRH11,888.0,OUT046
FDM03,1776.0,OUT013
FDS31,3040.0,OUT017
FDJ20,2096.0,OUT017
FDV44,4544.0,OUT027
FDG02,3096.0,OUT049
FDA09,2944.0,OUT013
FDT04,712.0,OUT013
FDL58,2304.0,OUT019
FDE52,1456.0,OUT045
FDW12,2504.0,OUT035
FDL51,3552.0,OUT017
NCY42,3688.0,OUT027
FDR07,1648.0,OUT017
FDN40,2352.0,OUT045
FDB35,3000.0,OUT027
FDA22,2712.0,OUT017
NCL06,4056.0,OUT046
FDI35,2944.0,OUT013
NCW42,3392.0,OUT045
NCX06,2920.0,OUT049
FDC37,3232.0,OUT027
FDZ14,1784.0,OUT018
DRG49,3944.0,OUT049
NCG06,3936.0,OUT045
DRC36,2736.0,OUT045
FDV21,48.0,OUT019
FDB53,2312.0,OUT046
DRP47,2040.0,OUT019
FDA14,2384.0,OUT013
DRC24,2568.0,OUT035
FDW21,1472.0,OUT018
NCH29,1496.0,OUT046
FDU58,3120.0,OUT013
FDY27,2920.0,OUT017
FDV56,1952.0,OUT035
FDT59,3624.0,OUT046
FDB23,3608.0,OUT046
FDR49,672.0,OUT045
FDB03,1928.0,OUT010
FDN39,2624.0,OUT045
FDX02,5016.0,OUT027
FDQ16,3224.0,OUT027
FDU35,1376.0,OUT018
NCT29,1968.0,OUT013
FDZ27,792.0,OUT046
FDN57,2328.0,OUT017
FDA03,2160.0,OUT018
FDZ36,2920.0,OUT045
NCU05,1336.0,OUT013
FDT39,2240.0,OUT018
FDK60,1720.0,OUT017
FDZ25,2856.0,OUT017
FDG12,2008.0,OUT046
DRB01,1128.0,OUT019
NCC43,5384.0,OUT027
FDX13,2032.0,OUT019
FDM22,1048.0,OUT049
FDJ03,2352.0,OUT027
FDU14,3728.0,OUT018
FDB33,648.0,OUT010
FDP27,2960.0,OUT046
FDO38,-664.0,OUT010
FDE28,5192.0,OUT027
FDO27,1688.0,OUT035
DRL23,3208.0,OUT027
FDS28,936.0,OUT046
FDX24,1568.0,OUT013
FDZ02,1744.0,OUT035
FDL46,1808.0,OUT045
FDS60,4336.0,OUT027
NCO06,600.0,OUT017
FDO16,1504.0,OUT035
FDC60,1544.0,OUT049
FDA48,3240.0,OUT018
FDZ36,4496.0,OUT027
FDK27,1872.0,OUT045
FDW23,416.0,OUT018
FDM14,1552.0,OUT018
FDM14,1816.0,OUT013
FDW60,2656.0,OUT018
FDE21,1936.0,OUT013
NCM42,1848.0,OUT035
FDY59,-368.0,OUT010
DRI49,1376.0,OUT049
FDT28,512.0,OUT019
FDQ22,456.0,OUT018
FDR60,1320.0,OUT049
FDC50,-400.0,OUT019
FDV24,2472.0,OUT013
DRF48,1056.0,OUT010
FDQ47,608.0,OUT046
DRN36,1664.0,OUT049
NCY06,2144.0,OUT035
FDE52,1656.0,OUT035
NCB54,1904.0,OUT045
NCF31,2512.0,OUT035
FDJ08,4480.0,OUT027
NCC07,1760.0,OUT017
NCD19,2360.0,OUT027
FDL46,2008.0,OUT049
FDM20,3824.0,OUT045
NCI06,912.0,OUT010
DRM11,4208.0,OUT035
NCH07,2232.0,OUT018
FDS23,2096.0,OUT013
FDO49,656.0,OUT018
FDS35,1160.0,OUT049
DRK39,1264.0,OUT045
DRI39,1032.0,OUT049
FDV04,2624.0,OUT017
NCN14,2976.0,OUT035
FDH08,3712.0,OUT013
FDS20,2872.0,OUT046
FDV40,1352.0,OUT049
FDZ48,-136.0,OUT010
FDS24,2960.0,OUT027
FDK44,2856.0,OUT049
FDS48,2336.0,OUT045
FDK26,1128.0,OUT010
FDD23,2976.0,OUT045
NCH54,2600.0,OUT017
NCP14,-264.0,OUT010
FDM60,-1160.0,OUT010
FDV24,2488.0,OUT017
FDH08,3392.0,OUT018
FDS12,3488.0,OUT027
FDR39,4352.0,OUT027
FDP12,2176.0,OUT027
DRF60,5224.0,OUT027
FDC09,1848.0,OUT035
FDF50,2912.0,OUT018
FDG28,4048.0,OUT035
NCE19,944.0,OUT017
NCM53,-208.0,OUT010
NCN18,1816.0,OUT049
FDF32,3296.0,OUT035
FDF11,3920.0,OUT013
DRI59,3656.0,OUT049
NCG54,2776.0,OUT035
FDM44,1600.0,OUT046
FDT57,3512.0,OUT018
FDV24,2368.0,OUT046
FDI50,1784.0,OUT019
FDS09,1032.0,OUT035
NCC31,3896.0,OUT027
FDQ07,1616.0,OUT019
FDC22,3160.0,OUT017
